country,year,land_type,national_yield,world_yield,yield_factor,qscore_2018
Afghanistan,2014,"Crop Land",2.63132,6.59427,0.399032,3A
Afghanistan,2014,"Grazing Land",2.67,6.19,0.431341,3A
Afghanistan,2014,"Marine Fishing Grounds",0,503.836,0,3A
Afghanistan,2014,"Inland Fishing Grounds",0,0,1,3A
Afghanistan,2014,"Forest Land",0.637266,1.81878,0.350381,3A
Afghanistan,2014,Infrastructure,0,0,0.399032,3A
Albania,2014,"Crop Land",8.74409,13.8992,0.629106,3A
Albania,2014,"Grazing Land",11.26,6.19,1.81906,3A
Albania,2014,"Marine Fishing Grounds",507,503.836,1.00628,3A
Albania,2014,"Inland Fishing Grounds",0,0,1,3A
Albania,2014,"Forest Land",1.16057,1.81878,0.638105,3A
Albania,2014,Infrastructure,0,0,0.629106,3A
Algeria,2014,"Crop Land",5.07037,13.6628,0.371107,2A
Algeria,2014,"Grazing Land",4.38,6.19,0.707593,2A
Algeria,2014,"Marine Fishing Grounds",480,503.836,0.95269,2A
Algeria,2014,"Inland Fishing Grounds",0,0,1,2A
Algeria,2014,"Forest Land",0.798716,1.81878,0.439149,2A
Algeria,2014,Infrastructure,0,0,0.371107,2A
Angola,2014,"Crop Land",3.92116,8.49069,0.461818,3A
Angola,2014,"Grazing Land",7.47,6.19,1.20679,3A
Angola,2014,"Marine Fishing Grounds",1411,503.836,2.80051,3A
Angola,2014,"Inland Fishing Grounds",0,0,1,3A
Angola,2014,"Forest Land",0.318633,1.81878,0.17519,3A
Angola,2014,Infrastructure,0,0,0.461818,3A
Argentina,2014,"Crop Land",4.29468,3.48485,1.23239,3A
Argentina,2014,"Grazing Land",9.24,6.19,1.49273,3A
Argentina,2014,"Marine Fishing Grounds",1180,503.836,2.34203,3A
Argentina,2014,"Inland Fishing Grounds",0,0,1,3A
Argentina,2014,"Forest Land",1.35419,1.81878,0.744559,3A
Argentina,2014,Infrastructure,0,0,1.23239,3A
Armenia,2014,"Crop Land",10.1279,12.1407,0.834215,3A
Armenia,2014,"Grazing Land",9.06,6.19,1.46365,3A
Armenia,2014,"Marine Fishing Grounds",0,503.836,0,3A
Armenia,2014,"Inland Fishing Grounds",0,0,1,3A
Armenia,2014,"Forest Land",1.19822,1.81878,0.658806,3A
Armenia,2014,Infrastructure,0,0,0.834215,3A
Australia,2014,"Crop Land",3.55833,3.7651,0.945084,3A
Australia,2014,"Grazing Land",4.79,6.19,0.773829,3A
Australia,2014,"Marine Fishing Grounds",478.179,503.836,0.949077,3A
Australia,2014,"Inland Fishing Grounds",0,0,1,3A
Australia,2014,"Forest Land",0.524645,1.81878,0.288459,3A
Australia,2014,Infrastructure,0,0,0.945084,3A
Austria,2014,"Crop Land",11.1197,9.16438,1.21336,3A
Austria,2014,"Grazing Land",11.62,6.19,1.87722,3A
Austria,2014,"Marine Fishing Grounds",0,503.836,0,3A
Austria,2014,"Inland Fishing Grounds",0,0,1,3A
Austria,2014,"Forest Land",6.46203,1.81878,3.55294,3A
Austria,2014,Infrastructure,0,0,1.21336,3A
Azerbaijan,2014,"Crop Land",4.49237,7.55869,0.594332,3A
Azerbaijan,2014,"Grazing Land",9.7,6.19,1.56704,3A
Azerbaijan,2014,"Marine Fishing Grounds",0,503.836,0,3A
Azerbaijan,2014,"Inland Fishing Grounds",0,0,1,3A
Azerbaijan,2014,"Forest Land",1.38462,1.81878,0.761287,3A
Azerbaijan,2014,Infrastructure,0,0,0.594332,3A
Bahamas,2014,"Crop Land",16.3834,26.1712,0.626009,3A
Bahamas,2014,"Grazing Land",0,6.19,1,3A
Bahamas,2014,"Marine Fishing Grounds",375,503.836,0.744289,3A
Bahamas,2014,"Inland Fishing Grounds",0,0,1,3A
Bahamas,2014,"Forest Land",1.19807,1.81878,0.658723,3A
Bahamas,2014,Infrastructure,0,0,0.626009,3A
Bahrain,2014,"Crop Land",6.83765,6.87602,0.99442,3A
Bahrain,2014,"Grazing Land",0,6.19,0,3A
Bahrain,2014,"Marine Fishing Grounds",1098,503.836,2.17928,3A
Bahrain,2014,"Inland Fishing Grounds",0,0,1,3A
Bahrain,2014,"Forest Land",2.65693,1.81878,1.46083,3A
Bahrain,2014,Infrastructure,0,0,0.99442,3A
Bangladesh,2014,"Crop Land",5.20596,2.58691,2.01243,3A
Bangladesh,2014,"Grazing Land",11.75,6.19,1.89822,3A
Bangladesh,2014,"Marine Fishing Grounds",1709,503.836,3.39198,3A
Bangladesh,2014,"Inland Fishing Grounds",0,0,1,3A
Bangladesh,2014,"Forest Land",0.633177,1.81878,0.348132,3A
Bangladesh,2014,Infrastructure,0,0,2.01243,3A
Barbados,2014,"Crop Land",25.9348,43.3812,0.597835,3A
Barbados,2014,"Grazing Land",0,6.19,1,3A
Barbados,2014,"Marine Fishing Grounds",419,503.836,0.831619,3A
Barbados,2014,"Inland Fishing Grounds",0,0,1,3A
Barbados,2014,"Forest Land",1.19807,1.81878,0.658723,3A
Barbados,2014,Infrastructure,0,0,0.597835,3A
Belarus,2014,"Crop Land",6.51098,7.24831,0.898275,3A
Belarus,2014,"Grazing Land",12.27,6.19,1.98223,3A
Belarus,2014,"Marine Fishing Grounds",0,503.836,0,3A
Belarus,2014,"Inland Fishing Grounds",0,0,1,3A
Belarus,2014,"Forest Land",2.62663,1.81878,1.44417,3A
Belarus,2014,Infrastructure,0,0,0.898275,3A
Belgium,2014,"Crop Land",26.0947,20.4624,1.27525,3A
Belgium,2014,"Grazing Land",14.12,6.19,2.2811,3A
Belgium,2014,"Marine Fishing Grounds",1908,503.836,3.78694,3A
Belgium,2014,"Inland Fishing Grounds",0,0,1,3A
Belgium,2014,"Forest Land",6.89398,1.81878,3.79044,3A
Belgium,2014,Infrastructure,0,0,1.27525,3A
Belize,2014,"Crop Land",17.5872,25.8224,0.681084,1A
Belize,2014,"Grazing Land",20.33,6.19,3.28433,1A
Belize,2014,"Marine Fishing Grounds",517,503.836,1.02613,1A
Belize,2014,"Inland Fishing Grounds",0,0,1,1A
Belize,2014,"Forest Land",0.796583,1.81878,0.437976,1A
Belize,2014,Infrastructure,0,0,0.681084,1A
Benin,2014,"Crop Land",3.50308,5.07109,0.690794,3A
Benin,2014,"Grazing Land",9.17,6.19,1.48142,3A
Benin,2014,"Marine Fishing Grounds",740,503.836,1.46873,3A
Benin,2014,"Inland Fishing Grounds",0,0,1,3A
Benin,2014,"Forest Land",1.0635,1.81878,0.584734,3A
Benin,2014,Infrastructure,0,0,0.690794,3A
Bhutan,2014,"Crop Land",3.89109,5.04162,0.771794,3A
Bhutan,2014,"Grazing Land",8.48,6.19,1.36995,3A
Bhutan,2014,"Marine Fishing Grounds",0,503.836,0,3A
Bhutan,2014,"Inland Fishing Grounds",0,0,1,3A
Bhutan,2014,"Forest Land",1.67282,1.81878,0.919749,3A
Bhutan,2014,Infrastructure,0,0,0.771794,3A
Bolivia,2014,"Crop Land",4.39369,7.28666,0.602978,3A
Bolivia,2014,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2014,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2014,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2014,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2014,Infrastructure,0,0,0.602978,3A
"Bosnia and Herzegovina",2014,"Crop Land",4.43193,15.3159,0.289367,3A
"Bosnia and Herzegovina",2014,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2014,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2014,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2014,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2014,Infrastructure,0,0,0.289367,3A
Botswana,2014,"Crop Land",1.01031,9.20498,0.109757,2A
Botswana,2014,"Grazing Land",2.66,6.19,0.429725,2A
Botswana,2014,"Marine Fishing Grounds",0,503.836,0,2A
Botswana,2014,"Inland Fishing Grounds",0,0,1,2A
Botswana,2014,"Forest Land",0.159317,1.81878,0.0875951,2A
