Time,Crop,Yield,Price,Food_Use,Import,Export
8/1/2002,Wheat,2.38,3.63,"83,418","5,313","95,451"
9/1/2002,Wheat,2.38,4.21,"79,583","7,235","72,242"
10/1/2002,Wheat,2.37,4.38,"80,730","5,228","78,238"
11/1/2002,Wheat,2.373,4.25,"77,441","3,849","74,561"
12/1/2002,Wheat,2.37,4.06,"71,306","2,558","72,920"
1/1/2003,Wheat,2.37,3.89,"73,354","1,668","60,452"
2/1/2003,Wheat,2.37,3.7,"72,730","1,684","47,105"
3/1/2003,Wheat,2.37,3.55,"77,724","4,178","65,779"
4/1/2003,Wheat,2.37,3.37,"74,990","2,321","55,766"
5/1/2003,Wheat,2.7,3.33,"77,582","1,272","59,426"
6/1/2003,Wheat,2.78,3.08,"73,706","1,060","53,633"
7/1/2003,Wheat,2.95,2.95,"76,616","1,152","90,165"
8/1/2003,Wheat,2.93,3.35,"80,199","6,969","113,710"
9/1/2003,Wheat,2.93,3.39,"79,948","6,201","125,306"
10/1/2003,Wheat,2.97,3.44,"81,483","3,690","99,259"
11/1/2003,Wheat,2.98,3.61,"78,161","1,488","76,222"
12/1/2003,Wheat,2.96,3.68,"72,248","1,795","80,781"
1/1/2004,Wheat,2.95,3.68,"71,399","2,142","110,029"
2/1/2004,Wheat,2.97,3.77,"72,060","2,442","92,809"
3/1/2004,Wheat,2.97,3.83,"76,677","3,544","96,424"
4/1/2004,Wheat,2.97,3.88,"74,467","3,265","102,572"
5/1/2004,Wheat,2.78,3.82,"74,794","3,468","92,034"
6/1/2004,Wheat,2.75,3.55,"72,818","2,632","81,609"
7/1/2004,Wheat,2.73,3.37,"73,572","3,217","96,283"
8/1/2004,Wheat,2.82,3.27,"81,098","5,182","104,271"
9/1/2004,Wheat,2.82,3.36,"77,842","5,711","119,703"
10/1/2004,Wheat,2.9,3.43,"80,599","3,712","91,911"
11/1/2004,Wheat,2.92,3.46,"77,142","2,837","83,959"
12/1/2004,Wheat,2.9,3.4,"72,157","3,141","81,589"
1/1/2005,Wheat,2.89,3.43,"73,097","4,232","77,733"
2/1/2005,Wheat,2.9,3.36,"72,527","4,005","75,755"
3/1/2005,Wheat,2.92,3.42,"77,709","3,267","76,612"
4/1/2005,Wheat,2.9,3.35,"74,441","3,476","81,885"
5/1/2005,Wheat,2.87,3.31,"76,548","3,086","75,668"
6/1/2005,Wheat,2.81,3.23,"73,304","3,347","64,461"
7/1/2005,Wheat,2.95,3.2,"75,971","2,625","90,761"
8/1/2005,Wheat,2.89,3.24,"81,909","5,856","84,301"
9/1/2005,Wheat,2.89,3.36,"79,441","5,996","102,257"
10/1/2005,Wheat,2.82,3.43,"81,076","3,998","99,658"
11/1/2005,Wheat,2.82,3.45,"77,884","3,365","79,776"
12/1/2005,Wheat,2.82,3.53,"72,891","4,674","95,805"
1/1/2006,Wheat,2.82,3.52,"73,474","3,909","83,317"
2/1/2006,Wheat,2.82,3.66,"72,994","5,161","68,095"
3/1/2006,Wheat,2.82,3.79,"77,516","5,683","73,318"
4/1/2006,Wheat,2.82,3.81,"74,519","3,834","68,140"
