STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/6/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/7/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/8/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/9/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/10/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/11/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/12/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/13/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/14/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/15/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/16/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/17/2021,,,0,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/18/2021,,,0.2,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/19/2021,,,0.25,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/20/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/21/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/22/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/23/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/25/2021,2,1.51,,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/26/2021,,,0,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/27/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/30/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",3/31/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/1/2021,,,1.04,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/2/2021,,,0,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/3/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/4/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/5/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/6/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/7/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/8/2021,,,0.02,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/9/2021,,,0.52,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/10/2021,,,0.01,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/11/2021,,,0.15,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/26/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/27/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/28/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/29/2021,,,0,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",4/30/2021,,,0.02,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/1/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/2/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/3/2021,,,0.02,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/4/2021,,,0.09,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/5/2021,,,0.4,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/6/2021,,,0.03,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/7/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/9/2021,2,0.1,,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/10/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/11/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/13/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/14/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/15/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/16/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/17/2021,,,0,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/18/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/19/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/20/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/21/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/22/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/23/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/24/2021,,,0.07,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/25/2021,,,0.28,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/26/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/27/2021,,,0.77,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/28/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/29/2021,,,1.58,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/30/2021,,,0.79,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",5/31/2021,,,0,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/1/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/2/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/3/2021,,,0.05,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/4/2021,,,0.04,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/5/2021,,,0,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/6/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/7/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/8/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/9/2021,,,0.2,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/10/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/11/2021,,,1.02,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/12/2021,,,1.1,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/13/2021,,,0,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/14/2021,,,0.01,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/15/2021,,,1.87,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/16/2021,,,0,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/17/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/18/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/19/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/20/2021,,,0.08,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/21/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/22/2021,,,0,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/23/2021,,,0.35,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/24/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",6/25/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",9/21/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",9/23/2021,2,1.47,,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",9/24/2021,,,0.12,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",9/25/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",9/26/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",9/27/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",9/28/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",9/29/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",9/30/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/1/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/2/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/3/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/4/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/5/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/13/2021,,,0.09,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/14/2021,,,0,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/15/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/16/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/17/2021,,,0.32,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/18/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/19/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/20/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/21/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/22/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/23/2021,,,0,0,,,,,
